"address","attributes","business_id","categories","city","hours","is_open","latitude","longitude","name","neighborhood","postal_code","review_count","stars","state","type"
"4747 S Maryland Pkwy","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},Caters: False,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False},HasTV: False,NoiseLevel: quiet,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 2,RestaurantsReservations: False,RestaurantsTableService: True,RestaurantsTakeOut: True,WiFi: no","3rkxTx8DoZSl7_FryhXCVQ","Restaurants,Chinese","Las Vegas","Monday 10:30-21:30,Tuesday 10:30-21:30,Wednesday 10:30-21:30,Thursday 10:30-21:30,Friday 10:30-21:30,Sunday 10:30-21:30",0,36.1041299,-115.1377251,"Jugoo Chinese Restaurant","University",89119,34,3.5,"NV","business"
"2620 S Maryland Pkwy, Ste 176","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BYOBCorkage: yes_free,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},Caters: True,Corkage: False,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': False},HasTV: True,NoiseLevel: average,OutdoorSeating: True,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTableService: False,RestaurantsTakeOut: True,WheelchairAccessible: True,WiFi: no,BikeParking: True","kJl3l4fSa2spv_Mkhgogmg","Filipino,Restaurants","Las Vegas","Monday 7:0-20:0,Tuesday 7:0-20:0,Wednesday 7:0-20:0,Thursday 7:0-20:0,Friday 7:0-20:0,Saturday 7:0-20:0,Sunday 7:0-20:0",1,36.1430355663,-115.13705937,"Ito'y Sariling Atin","Eastside",89109,103,3.5,"NV","business"
"3000 Paradise Rd","Alcohol: full_bar,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': True, 'upscale': False, 'casual': True},BikeParking: False,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True},Caters: False,GoodForKids: False,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False},HasTV: True,NoiseLevel: loud,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 2,RestaurantsReservations: True,RestaurantsTableService: True,RestaurantsTakeOut: True,WiFi: no","CCNp1qS8n2gh51X7Wadabw","Mexican,Restaurants","Las Vegas","",0,36.1362847,-115.1514119,"Vince Neil's Tatuado Cantina","Eastside",89109,60,2,"NV","business"
"8635 Spring Mountain Rd","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},BikeParking: True,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},Caters: False,DriveThru: True,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False},HasTV: False,OutdoorSeating: True,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTakeOut: True,WiFi: free,RestaurantsTableService: False","rECgTdKelvefty5JIXHDbg","Fast Food,Restaurants,Burgers","Las Vegas","Monday 6:0-23:0,Tuesday 6:0-23:0,Wednesday 6:0-23:0,Thursday 6:0-23:0,Friday 6:0-23:0,Saturday 6:0-23:0,Sunday 6:0-23:0",1,36.1257455,-115.2718422,"McDonald's","Spring Valley",89117,36,2,"NV","business"
"3717 S Las Vegas Blvd, Ste 140-A","Alcohol: full_bar,BikeParking: False,BusinessAcceptsCreditCards: True,DriveThru: False,GoodForKids: True,HasTV: True,OutdoorSeating: True,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsReservations: False,RestaurantsTableService: False,RestaurantsTakeOut: True,Caters: False,RestaurantsPriceRange2: 1,WiFi: no,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': True, 'trendy': True, 'upscale': False, 'casual': True},NoiseLevel: loud,GoodForMeal: {'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': True}","mB_cI1tCrNxxvr2e2myNrQ","Mexican,Restaurants,Fast Food","Las Vegas","Monday 0:0-0:0,Tuesday 0:0-0:0,Wednesday 0:0-0:0,Thursday 0:0-0:0,Friday 0:0-0:0,Saturday 0:0-0:0,Sunday 0:0-0:0",1,36.108719,-115.1721291,"Taco Bell Cantina","The Strip",89109,76,3,"NV","business"
"3900 Las Vegas Blvd S","Alcohol: full_bar,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BestNights: {'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': True, 'sunday': False, 'saturday': True},BikeParking: False,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': True, 'street': False, 'validated': False, 'lot': False, 'valet': False},Caters: False,CoatCheck: False,GoodForDancing: False,GoodForKids: False,GoodForMeal: {'dessert': False, 'latenight': True, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False},HappyHour: True,HasTV: True,Music: {'dj': False, 'background_music': False, 'no_music': False, 'karaoke': False, 'live': False, 'video': False, 'jukebox': False},NoiseLevel: average,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 2,RestaurantsReservations: True,RestaurantsTableService: True,RestaurantsTakeOut: True,Smoking: no,WiFi: free","KaGZE0_o1EmmSN4Fo_cpUw","Nightlife,Food,American (Traditional),Restaurants,Sports Bars,Burgers,Bars,Beer,Wine & Spirits","Las Vegas","Monday 16:0-0:0,Tuesday 16:0-0:0,Wednesday 16:0-0:0,Thursday 16:0-0:0,Friday 11:0-1:0,Saturday 11:0-1:0,Sunday 11:0-0:0",1,36.0954151675,-115.174970342,"Public House","The Strip",89119,198,3,"NV","business"
"10220 W Charleston, Ste 2","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},Caters: True,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': True, 'brunch': False},HasTV: False,NoiseLevel: quiet,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: True,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTableService: False,RestaurantsTakeOut: True","RxZpGcmMmUUlLn8c6RTk8w","Food,Vegetarian,Vegan,Restaurants,American (New)","Las Vegas","Monday 8:0-20:0,Tuesday 8:0-20:0,Wednesday 8:0-20:0,Thursday 8:0-20:0,Friday 8:0-18:0,Saturday 11:0-17:0,Sunday 12:0-16:0",0,36.160552,-115.318872,"My Healthy Meal","Summerlin",89135,13,3.5,"NV","business"
"3355 Las Vegas Blvd S","Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},BusinessAcceptsCreditCards: True,Caters: False,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False},HasTV: False,NoiseLevel: average,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTableService: False,RestaurantsTakeOut: True","8cn8zqkyz-UpGKXcKeIRYA","Japanese,Restaurants","Las Vegas","",1,36.121428,-115.169617,"Wasabi Jane's Venetiaen","The Strip",89109,6,2,"NV","business"
"Riviera Hotel and Casino, 2901 Las Vegas Blvd S","BusinessAcceptsCreditCards: True,RestaurantsAttire: casual","F7E3qP0oz_SuVGZGL0D8Zw","Restaurants,Italian","Las Vegas","",1,36.1354133,-115.1600836,"Ristorante Italiano","The Strip",89109,3,3,"NV","business"
"4875 West Oakey Boulevard","BusinessAcceptsCreditCards: True,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsReservations: False,RestaurantsTakeOut: True","QVcSKzl47nrO_LWFzz5AJQ","Restaurants,American (Traditional),Persian/Iranian,Food Stands","Las Vegas","Friday 6:0-22:0,Saturday 6:0-22:0,Sunday 6:0-22:0",1,36.1517469,-115.2053706,"Cactus Cafe","Westside",89102,4,5,"NV","business"
"4400 W Sahara Ave","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},BikeParking: False,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},Caters: False,DriveThru: True,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': False},HasTV: False,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTakeOut: True","1tNVPumjvFErYjvSXbOQ6Q","Restaurants,Burgers,Fast Food","Las Vegas","",1,36.1448952,-115.2001708,"Wendy's","Westside",89102,8,2,"NV","business"
"8520 W. Warm Springs Road","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BikeParking: True,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},Caters: False,DriveThru: True,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False},HasTV: False,NoiseLevel: average,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTableService: False,RestaurantsTakeOut: True,WiFi: no","cJ5i4V6_VKjkOeEHD4ENeQ","Fast Food,Mexican,Tex-Mex,Restaurants","Las Vegas","Monday 7:0-1:0,Tuesday 7:0-1:0,Wednesday 7:0-1:0,Thursday 7:0-1:0,Friday 7:0-2:0,Saturday 7:0-2:0,Sunday 7:0-1:0",1,36.05545,-115.27919,"Taco Bell","Southwest",89113,27,3,"NV","business"
"6055 E Lake Mead Blvd","Alcohol: beer_and_wine,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BikeParking: True,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},Caters: False,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False},HasTV: True,NoiseLevel: quiet,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTableService: True,RestaurantsTakeOut: True,WheelchairAccessible: True,WiFi: no","tstimHoMcYbkSC4eBA1wEg","Restaurants,Mexican","Las Vegas","Monday 11:0-21:0,Tuesday 10:0-21:0,Wednesday 10:0-21:0,Thursday 10:0-21:0,Friday 10:0-21:0,Saturday 10:0-21:0,Sunday 10:0-20:0",1,36.1955918,-115.04046,"Mama Maria's Mexican Restaurant","Sunrise",89156,120,4.5,"NV","business"
"238 S Rainbow Blvd","BikeParking: True,BusinessAcceptsCreditCards: True,GoodForKids: False,HasTV: True,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: True,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 2,RestaurantsReservations: False,RestaurantsTakeOut: True,WiFi: free","FZDcm4f7aOvYK7aD7aBtvA","Restaurants,Pizza","Las Vegas","",1,36.1714276,-115.2450798,"Ray's Pizzeria and Restaurant","Westside",89145,12,2.5,"NV","business"
"1920 N Decatur Blvd","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BikeParking: False,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},Caters: True,GoodForKids: True,HasTV: True,NoiseLevel: average,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTableService: True,RestaurantsTakeOut: True,WiFi: no,GoodForMeal: {'dessert': True, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': True}","OQcvO5P3gH0cuJ-bPXwfQQ","Restaurants,Mexican","Las Vegas","Monday 9:0-21:0,Tuesday 9:0-21:0,Wednesday 9:0-21:0,Thursday 9:0-21:0,Friday 9:0-21:0,Saturday 9:0-21:0,Sunday 9:0-17:0",1,36.1947007117,-115.205170581,"Mi Pueblo Taco Shop","",89108,40,5,"NV","business"
"4632 S Maryland Pkwy, Ste 12","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BikeParking: True,BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False},Caters: True,DriveThru: False,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'breakfast': False, 'brunch': False},HasTV: True,NoiseLevel: quiet,OutdoorSeating: True,RestaurantsAttire: casual,RestaurantsDelivery: True,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTableService: False,RestaurantsTakeOut: True,WheelchairAccessible: True,WiFi: free","8jj6dYkZtxTCsq_Y-C_DtQ","Restaurants,Sandwiches,Fast Food,Pizza","Las Vegas","Monday 11:0-20:0,Tuesday 11:0-20:0,Wednesday 11:0-20:0,Thursday 11:0-20:0,Friday 11:0-20:0",0,36.1050259,-115.1359481,"iCheese Pizza & Sub","University",89119,22,4.5,"NV","business"
"7865 W Sahara Ave","Alcohol: beer_and_wine,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True},BusinessAcceptsCreditCards: True,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False},Caters: True,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'breakfast': False, 'brunch': False},HasTV: True,NoiseLevel: average,OutdoorSeating: True,RestaurantsAttire: casual,RestaurantsDelivery: True,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 2,RestaurantsReservations: True,RestaurantsTableService: False,RestaurantsTakeOut: True,WheelchairAccessible: True,WiFi: free","DO3FefiMYiPYsEl6O8W2dw","Chicken Wings,Barbeque,Restaurants","Las Vegas","",0,36.1434735,-115.2622382,"The Las Vegas Grille","Westside",89117,82,4.5,"NV","business"
"8650 W Tropicana Ave","Alcohol: none,Ambience: {'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': False},BikeParking: True,BusinessAcceptsCreditCards: True,Caters: True,GoodForKids: True,GoodForMeal: {'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'breakfast': False, 'brunch': True},HasTV: False,NoiseLevel: average,OutdoorSeating: False,RestaurantsAttire: casual,RestaurantsDelivery: False,RestaurantsGoodForGroups: True,RestaurantsPriceRange2: 1,RestaurantsReservations: False,RestaurantsTableService: False,RestaurantsTakeOut: True,WiFi: no,BusinessParking: {'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}","ICWQfTi_Dvo723ZJicR8Vw","Ethnic Grocery,Specialty Food,Food,International Grocery,Ethnic Food,Imported Food,Filipino,Restaurants,Grocery,Seafood","Las Vegas","Monday 7:0-22:0,Tuesday 7:0-22:0,Wednesday 7:0-22:0,Thursday 7:0-22:0,Friday 7:0-22:0,Saturday 7:0-22:0,Sunday 7:0-22:0",1,36.1010606055,-115.280462827,"Island Pacific Seafood Market","Spring Valley",89147,48,3.5,"NV","business"
